Nº Judicial;Nº ALERJ;Apensos;Origem;Ação;Relator;Autor;Réu;Objeto;Mérito;Liminar;Recurso;Procurador;Estagiário;Andamento;Tipo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0042460-75.2015.8.19.0000;20670/2015;_;TJRJ - OE;RI;Des. Claudio de Mello Tavares;SINDICATO DAS EMPRESAS DE RADIODIFUSÃO DO ESTADO DO RJ;ALERJ E GOVERNADOR DO RIO DE JANEIRO;"Promovida em face da Lei Estadual 6.983/2015, artigo 1º, inciso VIII, por incluir a categoria de jornalista. A lei institui pisos salariais no âmbito do Estado do Rio de Janeiro para as categorias profissionais.
AUTOR: Poder Executivo
";;Liminar concedida;_;;Luiz;"23/02/2017: Certidão transito em julgado
";ELETRÔNICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2080;12064/1999;_;STF;ADI;Min. Gilmar Mendes;CONFEDERAÇÃO NACIONAL DO TRANSPORTE;ALERJ;"Promovida em face do parágrafo 5º do Artigo 194 da Constituição do Estado do Rio de Janeiro, que dispõe sobre a competência tributária Estadual e Municipal sobre a área dos respectivos territórios, tanto marítima quanto continental; e do Parágrafo 4º do Artigo 31 da Lei 2657, de 26/12/96, que dispõe sobre o imposto sobre a circulação de mercadorias e serviços.
Autoria: Poder Executivo
";;INDEFERIDA;_;;Luiz;06/03/2017: Publicação DJE;ELETRÔNICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
553;7773/1991;;STF;ADI;Min.Carmem Lucia;GOVERNADOR DO ERJ;ALERJ;" Artigo 223, paragrafo 001º da Constituicao do  Estado  do  Rio  de
Janeiro e art. 56 do Ato das Disposições Constitucionais Transitórias, da Constituição do Estado do Rio de Janeiro. 
";;_;;;Luiz;Pauta/Em Mesa - 01/03: juntada e distribuição de relatório;FÍSICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60087-68.2010.8.19.000;494/2011;;TJRJ - OE;RI;DES. REINALDO PINTO ALBERTO FILHO;PROCURADOR GERAL DE JUSTIÇA DO RIO DE JANEIRO;EXMO SR GOVERNADOR DO ESTADO DO RIO DE JANEIRO e EXMO SR PRESIDENTE DA ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO DE JANEIRO;suspensão da eficácia dos disposivos da Lei nº 5373, de 15 de janeiro de 2009, QUE ALTERA A LEI Nº 3350 DE 29 DE DEZEMBRO DE 1999, E DÁ OUTRAS PROVIDÊNCIAS, Redação da Lei nº 3350 DE 29 DE DEZEMBRO DE 1999 QUE DISPÕE SOBRE AS CUSTAS JUDICIAIS E EMOLUMENTOS DOS SERVIÇOS NOTARIAIS E DE REGISTROS NO ERJ DÁ OUTRAS PROVIDÊNCIAS, de Autoria do Dep. Luiz Paulo, PL. 1721/2008 Publicado em 16/01/2009, do Estado do Rio de Janeiro, pelo conteúdo flagrantemente inconstitucional dos dispositivos impugnados e por sua nítida aptidão para infligir descabido ônus;;INDEFERIDA;"STJ AREsp 205175
RELATOR: Min. GURGEL DE FARIA - PRIMEIRA TURMA";" FÁTIMA MARIA AMARAL
";Luiz;Conhecido o recurso da ALERJ e não-provido,por unanimidade, pela PRIMEIRA TURMA Petição Nº 88026/2013 - AgRg no AREsp 205175 (239);FÍSICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44100-55.2011.8.19.0000;20230/2011;;TJRJ - OE;RI; DES. SERGIO LUCIO DE OLIVEIRA E CRUZ;EXMO. SR. PROCURADOR GERAL DO ESTADO DO RIO DE JANEIRO;EXMO SR GOVERNADOR DO ESTADO DO RIO DE JANEIRO e EXMO SR PRESIDENTE DA ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO DE JANEIRO;"Promovida em face da Lei 2505/96 - DISPÕE SOBRE INGRESSO GRATUITO DE ATLETAS PROFISSIONAIS E AMADORES EM EVENTOS DESPORTIVOS REALIZADOS EM PRÓPRIOS DO ESTADO DO RIO DE JANEIRO.
";;INDEFERIDA;"STF: RE 730465 
Relator: Min. Teori Zavascki";DENISE SETSUKO;Luiz; REX concluso ao relator em 04/02/2013;FÍSICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3631;13979/2005;;STF;ADI;MARCO AURÉLIO;CONFEDERAÇÃO NACIONAL DO SISTEMA FINANCEIRO CONSIF;ASSEMBLÉIA LEGISLATIVA DO ESTADO DO RIO DE JANEIRO;"Art. 015, § 001º, inciso 0XI, da Lei nº 2657, de 26  de  dezembro
de 1996, do Estado do Rio de Janeiro.
";;;;;Gisele Constermani;Pauta Nº 23/2012 publicada no DJE nº 102, divulgado em 24/05/2012.;FÍSICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0032281-29.2008.8.19.0000;15976/2008;;TJRJ - OE;RI;Relator: Des. Reinaldo Pinto Alberto Filho;PROCURADOR GERAL DO ESTADO DO RIO DE JANEIRO;ASSEMBLÉIA LEGISLATIVA DO ESTADO DO RIO DE JANEIRO;"Trata-se de Representação por Inconstitucionalidade, com postulação de liminar, ajuizada em face do art. 4º da Lei Complementar nº 118, de 29/11/2008, que ""define a atividade de saudade como área de atuação estatal sujeita a desempenho por fundação pública, nos termos do inciso XIX, do art. 37 da Constituição Federal."" Projeto de Lei Complementar nº 5/2007 Autoria: Poder Executivo";;“Acordam os Desembargadores, por maioria, em deferir a liminar, suspendendo-se os efeitos do art. 4º, da Lei atacada. Vencido o Des. Sergio Varani”;;Fátima Maria Amaral;Luiz;25/02/2014 - processo suspenso aguardando o julgamento da ADI 4247.;FÍSICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 0329648-95.2010.8.19.0001;14944/2013;;TJRJ - 12ª V.F.P;AÇÃO DE EXECUÇÃO FISCAL;"
Juíza Juliana Benevides De Barros Araujo
";MUNICIPIO DO RIO DE JANEIRO;ALERJ;Trata-se de uma ação de execução, sobre o pagamento do tributo imobiliário, que é objeto de um termo de cessão de uso firmado pela Alerj - (IPTU), ao imovel do Municipio.  Procurador - Drº Sérgio Leal;;;;;Gisele Constermani;18/05: Sentença;FÍSICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47398-60.2008.8.19.0000;3609/2008;;TJRJ - OE;RI;Des. Roberto Wider;PROCURADOR GERAL DO ESTADO DO RIO DE JANEIRO;EXMO SR GOVERNADOR DO ESTADO DO RIO DE JANEIRO e  ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO DE JANEIRO;"Trata-se de Representação por Inconstitucionalidade em face da Lei n° 5.164 do ano 2007 do Estado do Rio de Janeiro. A lei “autoriza o Poder Executivo a instituir a “Fundação Estatal dos Hospitais Gerais”, a “Fundação Estatal dos Hospitais de Urgência” e a “Fundação Estatal dos Institutos de Saúde e a da Central Estadual de Transplante” e dá outras providências.”
Projeto de Lei nº 1014/2007 Autoria Poder Executivo
";Despacho Suspensão ou Sobrestamento - Defiro o pleito formulado às fls. 240/241(MP), reconhecendo o vínculo de prejudicialidade entre a presente demanda e aquela em trâmite perante Supremo Tribunal Federal, nos autos da Ação Direita de Inconstitucionalidade n.º 4.247, até final julgamento pelo STF. Rio, 25/02/2013;Acordam os Desembargadores, por maioria, em deferir a liminar, suspendendo-se os efeitos dos Artigos 44 e 45 da Lei atacada, vencidos os Desembargadores Sergio de Souza Verani e Valmir de Oliveira. Plenário, 07/07/2008;;Fátima Maria Amaral;Luiz;02/12/2014- Aguardando julgamento de ADIN 4247.;FÍSICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3034;20741/2003;;STF;ADI;MIN MARCO AURÉLIO;CONFED.BRASILEIRA DE TRABALHADORES POL.CIVIS-COBRAPOL;ASSEMBLÉIA LEGISLATIVA DO ESTADO DO RIO DE JANEIRO;Promovida em face da Lei Complementar nº 106, de 03/01/2003, art. 35, Inciso XI, que conferiu competência para o Parquet realizar iinvestigações criminais.Relator:  MIN. MARCO AURÉLIO;;;;;Gisele Constermani;07/03/2008 - concluso ao relator - Manif 26/08/2016;FÍSICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33199-20.2014.8.19.0000;2052/2014 (apenso ao 4165/2014);ALERJ 4165/2014;TJRJ - 11ª V.F.P;A. DECLARATÓRIA;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;ESTADO DO RIO DE JANEIRO;Declaração de inexistência de relação jurídica obrigacional tributária no tocante ao Imposto de Renda Pessoa Física-IRPF, incidente sobre os valores que apresentam natureza indenizatória- auxílio educação, auxílio alimentação e terço constitucional de férias.;;NÃO APRECIADA;"Agravo de Instrumento: 0001460-95.2015.8.19.0000
DES. PATRICIA RIBEIRO SERRA VIEIRA
05/03/2015 - Certidão Processo Findo - Não houve interposição de Recurso
";HARIMAN A. DIAS DE ARAÚJO;Luiz;23/02/2017: Juntada  petição;FÍSICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
750;4255/1992 ( Unificado ao Alerj 9572/2013);_;STF;ADI;Min. Gilmar Mendes;PROCURADOR GERAL DA REPÚBLICA;ALERJ;Promovida em face da Lei n° 5243,de 14 de maio de 2008, que institui no âmbito do Estado do Rio de Janeiro, a terça feira de carnaval como feriado Estadual. Autoria: ;;DEFERIDA PARCIALMENTE, POR UNANIMIDADE:                        Incisos II, III e IV do Art. 2 da Lei 1.939 de 1991;_;Hariman Araújo;Luiz;"
Pauta 2/2015, pub. 05/02/2015. 
19/05/2015 - remessa dos autos ao gabinete do Ministro Gilmar Mendes
";FÍSICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0034643-67.2009.8.19.0000;5249/2009;ADPF 199;TJRJ - OE;RI;Des. Luiz Fernado de Ribeiro Carvalho;FLAVIO NANTES BOLSONARO;ALERJ;Promovida em face da Lei Estadual nº 5346, de 11/12/2008, que versa sobre o novo sistema de cotas para ingresso nas universidades estaduais e dá outras providências.                                                            Autoria: Poder Executivo ( Sérgio Cabral) / Manifestação MP: pela improcedencia. ;Improcedente por maioria ;"                      
                                                                       DEFERIDA com efeitos ex nunc por maioria: Lei Estadual 5.346 de 2008
                                                                                 ";RE pelo autor. Tal recurso foi arquivado pois está sobrestado, tendo como paradigma o RE 597285/RS.  / 18/09/2012: Arquiamento;Dra Denise;Luiz;Arquivado Aguardando Julg do Repetitivo ( qual é / Foi Julgado?) - Acompanhar ADPF  e Vincular a este;FÍSICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0344282-91.2013.8.19.0001;14674/2013;;TJRJ - 3ª V.F.P;ACP;Juiz Alexandre De Carvalho Mesquita;MINISTERIO PUBLICO;ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO DE JANEIRO E OUTROS ;Trata -se de uma Ação Civil Pública em face da Assembléia Legislativa do Estado do Rio de Janeiro, Estado do Rio de Janeiro, Dep. Jorge Moreira Theodoro, Sinval José de Campos Neves,Jacqueline Nascimento da Silva alegando infração aos princípios constitucionais  da legalidade e moralidade administrativa.;“Por tais fundamentos, julgo extinto o processo sem o exame do mérito com relação à ALERJ, com fundamento no art. 267, VI do CPC em razão da sua ilegitimidade passiva, e julgo procedente o pedido com relação aos réus Jorge Moreira Theodoro e Jacqueline Nascimento Da Silva. [...] Julgo procedente o pedido condenar o réu Jorge Moreira Theodoro à perda da função pública, bem como para anular o ato de nomeação dos réus Jacqueline Nascimento Da Silva e Sinval José Campos Neves aos cargos de auxiliar administrativo, bem como os atos administrativos que lhes concederam o pagamento de auxílio-educação. [...] Deixo de condenar o autor ao pagamento dos honorários advocatícios da ré ALERJ por não vislumbrar litigância de má-fé.” Rio, 24/09/2015. (fls. 1860-1865);Não há pedido liminar;Apelação (fls. 1969/1990);Sergio Leal Carneiro;Luiz(Atenção);28/03/2017: Cota Ministerial;ELETRÔNICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0049577-54.2014.8.19.0000;10727/2014;;TJRJ - OE;RI;DES. REINALDO PINTO ALBERTO FILHO;SINDICATO DO CONCESSIONÁRIOS - SINCODIV/RJ;EXMO SR GOVERNADOR DO ESTADO DO RIO DE JANEIRO e EXMO SR PRESIDENTE DA ASSEMBLÉIA LEGISLATIVA DO ESTADO DO RIO DE JANEIRO;Promovida em face da Lei Ordinária estadual nº: 6.613/13, que DISPÕE SOBRE A CRIAÇÃO DO LIVRO DE RECLAMAÇÕES EM TODOS OS ESTABELECIMENTOS DE FORNECIMENTO DE BENS OU PRESTAÇÃO DE SERVIÇOS NO ESTADO DO RIO DE JANEIRO. Relator: Reinaldo Pinto Alberto Filho (Junto aos processos Alerj 15090 e Alerj 11379);"Por maioria, julgou-se parcialmente procedente a Direta de Inconstitucionalidade, nos termos do voto do Desembargador Relator; VENCIDO o Desembargador Nagib Slaib Filho que, preliminarmente, não conhecia do pedido por falta de pertinência temática e, no mérito, julgava improcedente o pedido. Lavrará o acórdão o Exmo. Sr. DES. REINALDO PINTO ALBERTO FILHO. Fez uso da palavra o Dr. Jorge Miguel, pela ALERJ.";Com pedido de liminar, ainda não apreciado.;Recurso STF nº 161/2017;Dr Sérgio Eduardo Leal ;Luma;27/11/2016: Remessa  3VP;ELETRÔNICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5176;13005/2014;;STF;ADI;MIN GILMAR MENDES;CONFEDERAÇÃO NACIONAL DE TRANSPORTE - CNT;GOVERNADOR DO ESTADO DO RIO DE JANEIRO E ALERJ;" Arts. 001º, 002º, 003º,  ""caput"",  incisos  e  parágrafos   e   art.  004º,
""caput""  e paragrafo único da Lei Estadual nº 6585, de 15 de Setembro  de  2014,
do Estado do Rio de Janeiro.";;;;;Luma;20/08/2015 - concluso ao relator;ELETRÔNICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5304;13826/2015;;STF;ADI;MIN LUIZ FUX;ASS NACIONAL DOS MEMBROS DO MINISTÉRIO PÚBLICO - CONAMP;ASSEMBLÉIA LEGISLATIVA DO ESTADO DO RIO DE JANEIRO;Promovida em face da  Emenda Constitucional n 59/2015 à Constituição do Estado do Rio de Janeiro, que modifica o inciso II do artigo 89,  altera o inciso I do §1º do artigo 128 e o inciso VI do artigo 156, e acrescenta dispositivo ao ato das disposições constitucionais transitórias da constituição Estadual, relativo ao limite da idade para a aposentadoria compulsória do servidor público em geral. ;;;;;Luma;22/02/2017: comunicação assinada;ELETRÔNICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0017539-52.2015.8.19.0000;15090/2015 ;;TJRJ - OE;RI;DES. REINALDO PINTO ALBERTO FILHO;FED. DAS CÂM. DOS DIRIGENTES LOJISTAS DO R.J.;GOVERNADOR DO ESTADO DO R.J. E PRESIDENTE ALERJ;Promovida em face Lei 6 613/13, que impõe aos comércios de todo o estado a obrigatoriedade de adoção de livro de reclamações disponível ao consumidor.Desembargador: Reinaldo Pinto Alberto Filho  (Junto com os processos Alerj 10727/2014 e Alerj 11379/2014);;;;;Luma; 28/03/16: Juntada RE Representante. (Conforme orientação do Dr. Sérgio encaminhamos o processo para elaboração de minuta (Contrarrazões AI), com prazo até 06/12/2016);ELETRÔNICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0026000-13.2015.8.19.0000;16995/2015;;TJRJ - OE;RI;DES. MARILIA DE CASTRO NEVES VIEIRA;FECOMERCIO-RJ;GOVERNADOR DO ERJ E ALERJ;Promovida em face do § 9º, do artigo 22-A da Lei Estadual nº 6805, de 18 de junho de 2014, que versa sobre a inclusão da modalidade de desconto para o consumidor que, no ato da compra, entregue seu produto, como baterias de celulares, pilhas, lâmpadas fluorescentes, pneus usados, etc.Relator: DES. MARILIA DE CASTRO NEVES VIEIRA;;;;;Sávia;23/05: Julgamento  - 30/08/2016: Remessa 3VP;ELETRÔNICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4069;6863/2008;;STF;ADI;MIN EDSON FACCHIN;CONFEDERAÇÃO NACIONAL DOS TRABALHADORES NA AGRICULTURA - CONTAG ;ASSEMBLÉIA LEGISLATIVA DO ESTADO DO RIO DE JANEIRO;" Arts 003º, 004º, 005º, 006º, 007º, parágrafo único do art. 008º e
os arts. 009º, 010, 012, 013, 014, 017 e 018 da Lei nº 5067, de 09  de
julho de 2007, do Estado do Rio de Janeiro.";;;;;Luma;10/02/2014 - Conclusos ao(à) Relator(a);FÍSICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34639-30.2009.8.19.0000;4050/2009;;TJRJ - OE;RI;DES. NILZA BITAR;PROCURADORIA GERAL DO ESTADO DO RIO DE JANEIRO;EXMO SR GOVERNADOR DO ESTADO DO RIO DE JANEIRO e  ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO DE JANEIRO;Promovida em face da Lei Estadual nº 5.327/2008, que tem por objeto a organização e a reestruturação do quadro de pessoal, em especial a transposição de cargos, na Fundação Departamento de Estradas e Rodagem do ERJ. ;;;;;Luma;10/12/2015 – Publicado no DJE acórdão que REJEITA os ED. ;FÍSICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0027238-04.2014.8.19.0000;13283/2014;_;TJRJ - OE;RI; Des. Mauro Dickstein;ANOREG RJ ;EXMO SR GOVERNADOR DO ESTADO DO RIO DE JANEIRO e EXMO SR PRESIDENTE DA ASSEMBLÉIA LEGISLATIVA DO ESTADO DO RIO DE JANEIRO;"Promovida em face da Lei nº 6.723/2014, do ERJ, que ""dispõe sobre a obrigatoriedade dos cartórios que prestam serviços notariais em informar, ao DETRAN-RJ, a transferência de propriedade de veículos, no ato do reconhecimento de firmas do vendedor e do comprador, apostas no Certificado de Registro de Veículo (CRV)"", por meio eletrônico, sem ônus aos usuários. .
Autor: Samuquinha
";;DEFERIDA: Lei  6.723 de 2014 de ERJ;ARE 1008.132;;Luma;"30/05/2016: Decisão não retratação
";ELETRÔNICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
