Nº Judicial;Nº ALERJ;Apensos;Origem;Ação;Relator;Autor;Réu;Objeto;Mérito;Liminar;Recurso;Procurador;Estagiário;Andamento;Tipo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5545;10638/17;;STF;ADI;Min. Luiz Fux;GOVERNARDOR DO ESTADO DO RIO DE JANEIRO ;ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO DE JANEIRO;"Promovida em face dos Arts. 001°, parte final, e 002°, inciso III, da  Lei  n°  3990,  de  11  de
outubro de 2002, do Estado do Rio de Janeiro, que 
obrigam  a  adoção  de  medidas  de  segurança  que evitem, impeçam ou dificultem a  troca  de  recém-nascidos nas depedências de hospitais públicos  ou
privados, casas de saúde e maternidades, no âmbito do Estado do Rio de Janeiro,  que  possibilitem  a posterior identificação através de exame de DNA, e
dá outras providências.";;;;;Deborah;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5550;ALERJ não é pate;ALERJ não é pate;;ADI;MIN. CELSO DE MELLO;ASSOCIAÇÃO NACIONAL DOS MAGISTRADOS ESTADUAIS - ANAMAGES ;"PRESIDENTE DA REPÚBLICA  / CONGRESSO NACIONAL 
";" ante a patente inconstitucionalidade material dos artigos 2.º e 3.º da
Lei n. 13.129/15, por ofensa aos artigos 2.º e 5.º, inciso XXXV, da CR/88, que
seja julgado procedente o pedido, para declarar inconstitucionais os
dispositivos impugnados";-;-;-;-;Sergio;13/06/2017 - Concluso ao relator;ELETRONICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0070467-40.2016.8.19.0001;ALERJ não é parte;ALERJ não é pate;;MS;-; SUPERGASBRAS ENERGIA LTDA;SUPERINTENDENTE DE TRIBUTAÇAO DA SECRETARIA DE ESTADO DA FAZENDA DO RIO DE JANEIRO;;-;-;-;-;Sergio;22/062017: Recebido os autos;FISICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0032744-87.2016.8.19.0000;ALERJ não é pate;Alerj n é parte;TJRJ - OE;RI;"DES. OTAVIO RODRIGUES
";"MARCELO RIBEIRO FREIXO e outros
";"EXMO SR GOVERNADOR DO ESTADO DO RIO DE JANEIRO
";"Promovida em face do DECRETO NR 45692 DO ANO DE 2016 DO ESTADO DO RIO DE JANEIRO / Estado de calamidade ERJ, jogos olímpicos...
";-;-;-;-;Sergio;31/08/2017 - Ciência de pauta;ELETRÔNICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5692;ALERJ não é parte - apenas decisõese pareceres;ALERJ não é pate;STF;ADI; MIN. ROSA WEBER;"PROCURADOR-GERAL DA REPÚBLICA 
";ASSEMBLÉIA LEGISLATIVA DO ESTADO DO CEARÁ  E  GOVERNADOR DO ESTADO DO CEARÁ ;Cargos TCE - Ceará;-;-;-;-;Sergio;;ELETRONICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0115814-96.2016.8.19.0001;ALERJ não é parte;ALERJ não é pate;;MS;; JEFFERSON DAVIDSON DIAS DE MOURA;" JORGE MIGUEL FELIPPE
 ";Trata-se de mandado de segurançaa impetrado por Jefferson Davidson Dias de Moura, visa a concessão de ordem para que o Presidente da Câmara Municipal crie/instale a Comissão Parlamentar de Inquérito com o objetivo apurar fatos determinados acerca do uso dos recursos financeiros como também incentivos e benefícios fiscais relacionados com a realização dos jogos Olímpicos de 2016.;-;-;-;-;Sergio;23/08/2017 - Juntada de petição;ELETRONICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0018872-05.2016.8.19.0000;ALERJ não é parte;ALERJ não é parte;;AGRAVO DE INSTRUMENTO;;CÂMARA MUNICIPAL DO RIO DE JANEIRO; JEFFERSON DAVIDSON DIAS DE MOURA;-;-;-;-;-;Sergio;21 /00/2017 Elminação de atuos;ELETRONICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0025791-10.2016.8.19.0000;ALERJ não é parte;;;;;;;;;;;;Isabela;Conhecido o Recurso e Provido - Unanimidade / 12/07/2016: Conclusão ao relator para lavratura de Acórdão - 20/07/2016: Petição Ciência;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
636886;Não somos partes nem interessados nesse RE, só mesmo acompanhar p inf. Resultado;;STF;RE;MIN. TEORI ZAVASCKI;UNIÃO ;VANDA MARIA MENEZES BARBOSA ;Exec. Acórdão TCC - Ressarcimento ao erário / Prescutibilidade (37 , §5º CR) ;;;;;Isabela;"14/10/2016: Juntada do mandado de intimação devidamente cumprido - AGU 
 ";ELETRÔNICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0031212-78.2016.8.19.0000;ALERJ não é parte;;TJRJ- OE;RI;"DES. MILTON FERNANDES DE SOUZA
";"EXMO SR PROCURADOR GERAL DE JUSTIÇA DO ESTADO DO RIO DE JANEIRO
";"EXMO SR GOVERNADOR DO ESTADO DO RIO DE JANEIRO
";Promovida em face do Decreto 13.042 1989 , que versa sobre Acumulação de Cargos;;;;;Isabela;09/03/2017: Certidão Autuação;ELETRÔNICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
